Method,Re-ident. Risk,DM,Disclosure Risk,CAVG,Suppression Ratio,Combined Distortion,Mutual Info,Model Acc,Precision,Recall,F1-Score,AUC
Original,1.99e-02,-,0.5709876543209876,-,0.0,3.539095850864531,0.1637576022902273,0.8008598188238907,0.6532438478747203,0.3717377466581795,0.4738336713995943,0.8155454320403118
k-Anonymity,2.30e-03,6.31e+07,0.06666666666666667,5.712456140350877,0.1844537944166334,3.4110713613255506,0.13148000823801775,0.7911868570551205,0.6455172413793103,0.2978994271164863,0.4076655052264808,0.7790596250690055
l-Diversity,8.57e-03,-,-,-,0.09569730659377783,3.4501188656817794,0.2841425244592998,0.7997850452940273,0.6508474576271186,0.3666454487587524,0.46905537459283386,0.8110645550769577
t-Closeness,1.62e-02,-,-,-,0.13804858573139644,3.6096967861469396,0.5187972912685889,0.8025487486565331,0.6571113561190739,0.37937619350732016,0.48103309120258275,0.8149092168067469
k-Anonymity + l-Diversity,2.15e-03,7.84e+07,-,6.120488721804511,0.22078560240778847,3.3729406432287563,0.147995412448284,0.7911868570551205,0.6455172413793103,0.2978994271164863,0.4076655052264808,0.7693662783643543
k-Anonymity + t-Closeness,2.00e-03,-,-,-,0.29433985442707533,3.4841145493319408,0.1939020085588963,0.7587901120835252,0.0,0.0,0.0,0.7248355912673582
