Method,Re-ident. Risk,DM,Disclosure Risk,CAVG,Suppression Ratio,Combined Distortion,Mutual Info,Model Acc,Precision,Recall,F1-Score,AUC
Original,1.99e-02,-,0.5709876543209876,-,0.0,3.539095850864531,0.1637576022902273,0.8008598188238907,0.6532438478747203,0.3717377466581795,0.4738336713995943,0.8155454320403118
k-Anonymity,4.42e-03,3.60e+07,0.11805555555555555,8.374742798353909,0.09124412640889408,3.4740790807705304,0.15488325082000964,0.7970213419315215,0.6535141800246609,0.33736473583704646,0.4450041981528128,0.7981914202199366
l-Diversity,8.57e-03,-,-,-,0.09569730659377783,3.4501188656817794,0.2841425244592998,0.7997850452940273,0.6508474576271186,0.3666454487587524,0.46905537459283386,0.8110645550769577
t-Closeness,2.61e-03,-,-,-,0.6779275820767175,3.195646991513302,0.0019931411200545808,0.7586365730078305,0.0,0.0,0.0,0.535183043740232
k-Anonymity + l-Diversity,3.90e-03,4.87e+07,-,9.495771361913095,0.14382236417800437,3.4235597962551116,0.19366616701631345,0.7970213419315215,0.6535141800246609,0.33736473583704646,0.4450041981528128,0.7899445148702673
k-Anonymity + t-Closeness,9.83e-04,-,-,-,0.693252664230214,3.1673508209851824,0.0021115099795657524,0.7587901120835252,0.0,0.0,0.0,0.539613108493921
