Method,Re-ident. Risk,DM,Disclosure Risk,CAVG,Suppression Ratio,Combined Distortion,Mutual Info,Model Acc,Precision,Recall,F1-Score,AUC
Original,1.99e-02,-,0.5709876543209876,-,0.0,3.539095850864531,0.1637576022902273,0.8008598188238907,0.6532438478747203,0.3717377466581795,0.4738336713995943,0.8155454320403118
k-Anonymity,3.35e-03,4.37e+07,0.11009174311926606,7.468119266055046,0.12490402628911888,3.467765143538991,0.13822774629760304,0.7931828650391525,0.6469816272965879,0.31381285805219605,0.42263180454350624,0.7893323855256944
l-Diversity,8.57e-03,-,-,-,0.09569730659377783,3.4501188656817794,0.2841425244592998,0.7997850452940273,0.6508474576271186,0.3666454487587524,0.46905537459283386,0.8110645550769577
t-Closeness,1.71e-02,-,-,-,0.12926507171155677,3.6079024407449207,0.49882385031284326,0.8019345923537541,0.6566332218506131,0.37492043284532145,0.4773095623987034,0.8147254170014433
k-Anonymity + l-Diversity,2.98e-03,5.82e+07,-,8.392010309278351,0.1723227173612604,3.4209369202226347,0.16055618139841948,0.7931828650391525,0.6469816272965879,0.31381285805219605,0.42263180454350624,0.7778198457936377
k-Anonymity + t-Closeness,2.98e-03,-,-,-,0.23598783821135713,3.532590344494915,0.24331619133480265,0.758329494856441,0.44,0.007001909611712286,0.013784461152882205,0.7453363536437054
